C_CODI_CANDIDATO,CANDIDATO,NUMLISTA,TOTAL_VOTOS,departamento,partido
00000727,KELLY ROXANA PORTALATINO AVALOS,1,"6,587",ANCASH,PARTIDO POLITICO NACIONAL PERU LIBRE
00000728,ELIAS MARCIAL VARAS MELENDEZ,2,"4,894",ANCASH,PARTIDO POLITICO NACIONAL PERU LIBRE
00000729,ALICIA SOFIA TAPIA RIVERA,3,"2,321",ANCASH,PARTIDO POLITICO NACIONAL PERU LIBRE
00000730,VIRGILIO LEOPOLDO HUERTA JARA,4,"3,152",ANCASH,PARTIDO POLITICO NACIONAL PERU LIBRE
00000731,JUANA LIZBETH CHUQUI GUTIERREZ,5,"1,243",ANCASH,PARTIDO POLITICO NACIONAL PERU LIBRE
00000732,  ,6,211,ANCASH,PARTIDO POLITICO NACIONAL PERU LIBRE
00000119,ANTONIO PEREGRINO HUAMAN OSORIO,1,915,ANCASH,DEMOCRACIA DIRECTA
00000120,MERY MAIDA CHUNGA GRAUS,2,295,ANCASH,DEMOCRACIA DIRECTA
00000121,CARLOS ALBERTO PAREDES ASCATE,3,213,ANCASH,DEMOCRACIA DIRECTA
00000122,IVETH WENDY JAVIER BLAS,4,65,ANCASH,DEMOCRACIA DIRECTA
00000123,CARLOS ESTEBAN CACHA SALAZAR,5,320,ANCASH,DEMOCRACIA DIRECTA
00000124,DECY MARIELA HUAMAN TORRE,6,85,ANCASH,DEMOCRACIA DIRECTA
00000470,  ,1,"1,916",ANCASH,ALIANZA PARA EL PROGRESO
00000471,LADY MERCEDES CAMONES SORIANO,2,"4,251",ANCASH,ALIANZA PARA EL PROGRESO
00000472,SEGUNDO LUCIO JACOME ROSARIO,3,"2,868",ANCASH,ALIANZA PARA EL PROGRESO
00000473,MAYRA LISBETH ALVAREZ CABANILLAS,4,"2,200",ANCASH,ALIANZA PARA EL PROGRESO
00000474,GUSTAVO LUIS CARRASCO FERRER,5,"4,536",ANCASH,ALIANZA PARA EL PROGRESO
00000475,JUBYXA ADRIANA CHAVEZ GARCIA,6,263,ANCASH,ALIANZA PARA EL PROGRESO
00000518,MARIA ELENA HILARES HUAMAN,1,"3,606",APURIMAC,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00000519,JOSE ALBERTO AYALA SAENZ,2,"1,719",APURIMAC,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00000520,VILMA ROBLES CCONISLLA,3,"1,355",APURIMAC,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00000521,MARCOS OCAÑA GERI,4,"1,037",APURIMAC,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP
00000590,HUGO CARRILLO CAVERO,1,264,APURIMAC,PARTIDO NACIONALISTA PERUANO
00000591,MARICRUZ JESSICA SOLIS ECCOÑA,2,222,APURIMAC,PARTIDO NACIONALISTA PERUANO
00000592,JAVIER CCEÑUA ANCCO,3,647,APURIMAC,PARTIDO NACIONALISTA PERUANO
00000593,ELSA TTITO TAIRO,4,23,APURIMAC,PARTIDO NACIONALISTA PERUANO
00000574,  ,1,198,APURIMAC,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00000575,  ,2,162,APURIMAC,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00000576,  ,3,131,APURIMAC,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00000577,SHANERY ALEXIA PALOMINO PALOMINO,4,507,APURIMAC,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD"
00000542,ADRIEL NUÑEZ VALENCIA,1,"3,144",APURIMAC,PARTIDO MORADO
00000543,FRINET MONTOYA TARCO,2,359,APURIMAC,PARTIDO MORADO
00000544,FELIX PILLACA FLORES,3,238,APURIMAC,PARTIDO MORADO
00000545,MARIA MAGDALENA TAYPE RETAMOZO,4,53,APURIMAC,PARTIDO MORADO
00000522,  ,1,22,APURIMAC,PERU PATRIA SEGURA
00000523,MARY VASQUEZ ROBLES,2,19,APURIMAC,PERU PATRIA SEGURA
00000524,RAYMUNDO CRUZ TALAVERANO,3,14,APURIMAC,PERU PATRIA SEGURA
00000525,RAYDA ELGUERA SANCHEZ VDA DE CHONG,4,7,APURIMAC,PERU PATRIA SEGURA
00000578,JORGE PERLACIOS VELASQUEZ,1,488,APURIMAC,VICTORIA NACIONAL
00000579,RUBI CAROL CALVO MARCILLA,2,170,APURIMAC,VICTORIA NACIONAL
00000580,LUIS ALBERTO RAMIREZ TAMAYO,3,37,APURIMAC,VICTORIA NACIONAL
00000581,PATRICIA CONSUELO ODAR DIAZ,4,14,APURIMAC,VICTORIA NACIONAL
00000546,ALVAR PAUCAR CCORAHUA,1,"4,067",APURIMAC,ACCION POPULAR
00000547,FARY ELGA CARRASCO VENEGAS DE CANO,2,"1,504",APURIMAC,ACCION POPULAR
00000548,BERTHOLT CLIFF JIMENEZ ESPINOZA,3,"2,679",APURIMAC,ACCION POPULAR
00000549,  ,4,44,APURIMAC,ACCION POPULAR
00000586,FREDDY AURELIO ARESTEGUI SAAVEDRA,1,490,APURIMAC,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00000587,TERESA SULLCAHUAMAN VALENZA,2,426,APURIMAC,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00000588,GILMER PORRAS RIVERA,3,387,APURIMAC,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00000589,OLGA CRUZ MENACHO,4,38,APURIMAC,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL
00000570,ZUELEM ANTONIETA TORRES LLAMOCCA,1,276,APURIMAC,PODEMOS PERU
00000571,ELI VICTOR CAMPOS VILCHEZ,2,"1,281",APURIMAC,PODEMOS PERU
00000572,MADAI PAULINA HUARHUACHI LEON,3,65,APURIMAC,PODEMOS PERU
00000573,  ,4,8,APURIMAC,PODEMOS PERU
00000550,ALEJANDRO NARVAEZ LICERAS,1,"3,094",APURIMAC,JUNTOS POR EL PERU
00000551,EVELIN NATIVIDAD CAVERO CONTRERAS,2,"4,087",APURIMAC,JUNTOS POR EL PERU
00000552,FREDY PALOMINO JURO,3,"4,000",APURIMAC,JUNTOS POR EL PERU
00000553,MARITZA CASAVERDE RIVERA,4,184,APURIMAC,JUNTOS POR EL PERU
00000558,GILBERTO AMPUERO AVENDAÑO,1,46,APURIMAC,PARTIDO POPULAR CRISTIANO - PPC
00000559,ROSA BERTHA MENDOZA GALVAN,2,19,APURIMAC,PARTIDO POPULAR CRISTIANO - PPC
00000560,MARCELO HECTOR APAZA VALDIVIA,3,17,APURIMAC,PARTIDO POPULAR CRISTIANO - PPC
00000561,  ,4,2,APURIMAC,PARTIDO POPULAR CRISTIANO - PPC
00000582,ANTONIO MEDINA ORTIZ,1,"1,263",APURIMAC,FUERZA POPULAR
00000583,MERCEDES SILVA JURO,2,416,APURIMAC,FUERZA POPULAR
00000584,HERNAN PALOMINO PILLACA,3,275,APURIMAC,FUERZA POPULAR
00000585,DORINA CACERES YBIAS,4,103,APURIMAC,FUERZA POPULAR
00000566,ROGGER CHIPANA YUPANQUI,1,"1,383",APURIMAC,UNION POR EL PERU
00000567,  ,2,326,APURIMAC,UNION POR EL PERU
00000568,JOSE LUIS PIMENTEL FLORES,3,485,APURIMAC,UNION POR EL PERU
00000569,ROSALINDA QUISPE HUAMAN,4,388,APURIMAC,UNION POR EL PERU
00000554,KARLA SADITH SANTA CRUZ VARGAS,1,"1,294",APURIMAC,RENOVACION POPULAR
00000555,JORGE ANTONIO CUADROS MALNATI,2,408,APURIMAC,RENOVACION POPULAR
00000556,ROSA MILAGROS RIOS BRAVO,3,125,APURIMAC,RENOVACION POPULAR
00000557,  ,4,24,APURIMAC,RENOVACION POPULAR
00000526,  ,1,69,APURIMAC,RENACIMIENTO UNIDO NACIONAL
00000527,  ,2,43,APURIMAC,RENACIMIENTO UNIDO NACIONAL
00000528,ROSEL QUISPE HUAMAN,3,164,APURIMAC,RENACIMIENTO UNIDO NACIONAL
00000529,YANINA CCOLLANA FLORES,4,7,APURIMAC,RENACIMIENTO UNIDO NACIONAL
00000534,  ,1,381,APURIMAC,PARTIDO DEMOCRATICO SOMOS PERU
00000535,ROSA BERTHA HURTADO PALOMINO,2,201,APURIMAC,PARTIDO DEMOCRATICO SOMOS PERU
00000536,  ,3,40,APURIMAC,PARTIDO DEMOCRATICO SOMOS PERU
00000537,CATHERINE OCAMPO PRADO,4,13,APURIMAC,PARTIDO DEMOCRATICO SOMOS PERU
00000538,PAUL SILVIO GUTIERREZ TICONA,1,"9,360",APURIMAC,PARTIDO POLITICO NACIONAL PERU LIBRE
00000539,MARIA ELIZABETH TAIPE CORONADO,2,"6,850",APURIMAC,PARTIDO POLITICO NACIONAL PERU LIBRE
00000540,HILARIO RIOS RIOS,3,"1,190",APURIMAC,PARTIDO POLITICO NACIONAL PERU LIBRE
00000541,HERMELINDA TAIPE RAMOS,4,259,APURIMAC,PARTIDO POLITICO NACIONAL PERU LIBRE
