total_votos,validos,conteo,hora,candidato,partido,departamento,provincia,distrito,ubigeo_reniec,ubigeo_inei,region,departamento_id,provincia_id,distrito_id,nombre,nro,total
2396,10.856,100,16:00 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,La Libertad,Viru,Viru,121201,131201,la-libertad,la-libertad,viru,viru,NA,NA,NA
2376,20.912,100,20:22 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lambayeque,Chiclayo,Pomalca,130118,140118,lambayeque,lambayeque,chiclayo,pomalca,NA,NA,NA
2349,13.36,100,12:21 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,La Libertad,Trujillo,Laredo,120103,130106,la-libertad,la-libertad,trujillo,laredo,NA,NA,NA
2329,12.251,100,16:44 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Callao,Callao,Mi Peru,240107,070107,callao,callao,callao,mi peru,NA,NA,NA
2302,6.741,100,17:30 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Moquegua,Mariscal Nieto,Moquegua,170101,180101,moquegua,moquegua,mariscal nieto,moquegua,NA,NA,NA
2253,8.068,100,13:50 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Piura,Piura,Catacaos,190104,200105,piura,piura,piura,catacaos,NA,NA,NA
2204,10.854,100,10:43 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima-Provincias,Cañete,Imperial,140406,150507,lima-provincias,lima-provincias,cañete,imperial,NA,NA,NA
2168,12.418,100,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Ica,Ica,La Tinguiña,100102,110102,ica,ica,ica,la tinguiña,NA,NA,NA
2164,12.988,100,12:21 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lambayeque,Chiclayo,Monsefu,130106,140108,lambayeque,lambayeque,chiclayo,monsefu,NA,NA,NA
2152,13.035,100,18:57 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lambayeque,Ferreñafe,Ferreñafe,130201,140201,lambayeque,lambayeque,ferreñafe,ferreñafe,NA,NA,NA
2133,13.849,100,11:20 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Huanuco,Huanuco,Pillco Marca,090111,100111,huanuco,huanuco,huanuco,pillco marca,NA,NA,NA
2102,10.948,100,18:57 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima-Provincias,Huarochiri,San Antonio,140615,150716,lima-provincias,lima-provincias,huarochiri,san antonio,NA,NA,NA
2048,12.342,100,11:20 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima-Provincias,Huaura,Santa Maria,140512,150810,lima-provincias,lima-provincias,huaura,santa maria,NA,NA,NA
1870,14.37,100,09:46 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima-Provincias,Huaura,Hualmay,140506,150805,lima-provincias,lima-provincias,huaura,hualmay,NA,NA,NA
1854,11.109,100,09:46 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima-Provincias,Huaura,Huaura,140507,150806,lima-provincias,lima-provincias,huaura,huaura,NA,NA,NA
