total_votos,validos,conteo,hora,candidato,partido,departamento,provincia,distrito,ubigeo_reniec,ubigeo_inei,region,departamento_id,provincia_id,distrito_id,nombre,nro,total
3707,10.221,98.598,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Huanuco,Huanuco,Amarilis,090110,100102,huanuco,huanuco,huanuco,amarilis,NA,NA,NA
3706,33.826,100,18:57 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Ancash,Huarmey,Huarmey,021901,021101,ancash,ancash,huarmey,huarmey,NA,NA,NA
3668,10.618,100,13:18 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,La Libertad,Trujillo,Victor Larco Herrera,120107,130111,la-libertad,la-libertad,trujillo,victor larco herrera,NA,NA,NA
3649,13.416,98.621,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Chaclacayo,140107,150107,lima,lima,lima,chaclacayo,NA,NA,NA
3635,11.195,100,11:20 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Ancash,Huaraz,Independencia,020102,020105,ancash,ancash,huaraz,independencia,NA,NA,NA
3551,18.496,100,18:57 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima-Provincias,Huarochiri,San Antonio,140615,150716,lima-provincias,lima-provincias,huarochiri,san antonio,NA,NA,NA
3521,24.803,100,17:30 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Ancash,Casma,Casma,020501,020801,ancash,ancash,casma,casma,NA,NA,NA
3483,12.235,100,13:50 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,San Martin,Moyobamba,Moyobamba,210101,220101,san-martin,san-martin,moyobamba,moyobamba,NA,NA,NA
3443,5.28,100,16:44 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Tacna,Tacna,Tacna,220101,230101,tacna,tacna,tacna,tacna,NA,NA,NA
3395,17.858,100,16:44 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Callao,Callao,Mi Peru,240107,070107,callao,callao,callao,mi peru,NA,NA,NA
3387,21.236,98.347,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lambayeque,Lambayeque,Olmos,130308,140308,lambayeque,lambayeque,lambayeque,olmos,NA,NA,NA
3366,30.726,98.485,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,La Libertad,Ascope,Paijan,120806,130205,la-libertad,la-libertad,ascope,paijan,NA,NA,NA
3365,37.594,100,14:28 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lambayeque,Lambayeque,Mochumi,130305,140305,lambayeque,lambayeque,lambayeque,mochumi,NA,NA,NA
3319,18.877,100,12:21 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,La Libertad,Trujillo,Laredo,120103,130106,la-libertad,la-libertad,trujillo,laredo,NA,NA,NA
3307,14.983,100,16:00 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,La Libertad,Viru,Viru,121201,131201,la-libertad,la-libertad,viru,viru,NA,NA,NA
3307,8.148,100,19:25 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Magdalena Del Mar,140114,150120,lima,lima,lima,magdalena del mar,NA,NA,NA
3307,32.54,100,17:30 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Tumbes,Tumbes,Corrales,230102,240102,tumbes,tumbes,tumbes,corrales,NA,NA,NA
3282,14.181,92.537,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Ica,Chincha,Pueblo Nuevo,100210,110207,ica,ica,chincha,pueblo nuevo,NA,NA,NA
3227,5.133,100,16:00 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Cusco,Cusco,Cusco,070101,080101,cusco,cusco,cusco,cusco,NA,NA,NA
3196,7.705,99.608,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,San Isidro,140124,150131,lima,lima,lima,san isidro,NA,NA,NA
3184,17.305,100,17:30 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Cajamarca,Cajamarca,Los Baños Del Inca,060107,060108,cajamarca,cajamarca,cajamarca,los baños del inca,NA,NA,NA
3155,18.072,100,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Ica,Ica,La Tinguiña,100102,110102,ica,ica,ica,la tinguiña,NA,NA,NA
